,wrapperType,kind,artistId,collectionId,trackId,artistName,collectionName,trackName,collectionCensoredName,trackCensoredName,artistViewUrl,collectionViewUrl,trackViewUrl,previewUrl,artworkUrl30,artworkUrl60,artworkUrl100,collectionPrice,trackPrice,releaseDate,collectionExplicitness,trackExplicitness,discCount,discNumber,trackCount,trackNumber,trackTimeMillis,country,currency,primaryGenreName,isStreamable,collectionArtistId,collectionArtistName,collectionArtistViewUrl,contentAdvisoryRating
15,track,song,1495054075,1572050303,1572050410,YB,The Metallica Blacklist,Sad But True,The Metallica Blacklist,Sad But True,https://music.apple.com/us/artist/yb/1495054075?uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050410&uo=4,https://music.apple.com/us/album/sad-but-true/1572050303?i=1572050410&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/6e/75/72/6e75725e-7b3b-c120-28e5-a8b9d8614a9c/mzaf_8931209946146353689.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music115/v4/ed/fe/b0/edfeb093-1dc2-86ff-db02-69912e370255/810083960050.png/100x100bb.jpg,47.99,1.29,2021-09-10T12:00:00Z,notExplicit,notExplicit,4,1,13,13,243387,USA,USD,Hard Rock,True,3996865.0,Metallica,https://music.apple.com/us/artist/metallica/3996865?uo=4,
16,track,song,411644,1111278922,1111279128,Apocalyptica,Plays Metallica by Four Cellos (Remastered),Sad but True,Plays Metallica by Four Cellos (Remastered),Sad but True,https://music.apple.com/us/artist/apocalyptica/411644?uo=4,https://music.apple.com/us/album/sad-but-true/1111278922?i=1111279128&uo=4,https://music.apple.com/us/album/sad-but-true/1111278922?i=1111279128&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/27/4e/a0/274ea0e9-382a-1f06-dc3a-1f3c6c5799df/mzaf_7875523755307947691.plus.aac.p.m4a,https://is3-ssl.mzstatic.com/image/thumb/Music60/v4/d6/c2/38/d6c23827-ec08-a415-6633-793e3e19734f/dj.xplzxjaz.jpg/30x30bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music60/v4/d6/c2/38/d6c23827-ec08-a415-6633-793e3e19734f/dj.xplzxjaz.jpg/60x60bb.jpg,https://is3-ssl.mzstatic.com/image/thumb/Music60/v4/d6/c2/38/d6c23827-ec08-a415-6633-793e3e19734f/dj.xplzxjaz.jpg/100x100bb.jpg,9.99,1.29,1996-05-10T12:00:00Z,notExplicit,notExplicit,1,1,11,5,288307,USA,USD,Hard Rock,True,,,,
17,track,song,724648,1320114817,1320115314,Orbital,20,Sad but True,20,Sad but True,https://music.apple.com/us/artist/orbital/724648?uo=4,https://music.apple.com/us/album/sad-but-true/1320114817?i=1320115314&uo=4,https://music.apple.com/us/album/sad-but-true/1320114817?i=1320115314&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview112/v4/5f/42/13/5f4213ab-54df-fc11-d50f-dce48452d010/mzaf_9134648655039950893.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/1a/4a/10/1a4a10dc-8bf6-61f9-658f-00eb0d6f7f2a/825646890934.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/1a/4a/10/1a4a10dc-8bf6-61f9-658f-00eb0d6f7f2a/825646890934.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/1a/4a/10/1a4a10dc-8bf6-61f9-658f-00eb0d6f7f2a/825646890934.jpg/100x100bb.jpg,10.99,1.29,1991-01-01T12:00:00Z,notExplicit,notExplicit,1,1,22,14,468440,USA,USD,Pop,True,,,,
18,track,song,1545194743,1545196654,1545196699,SaD - Symphony and Metallica,Symphony and Metallica (Live at Vicenza City Hall Theatre),Sad but True,Symphony and Metallica (Live at Vicenza City Hall Theatre),Sad but True (Live),https://music.apple.com/us/artist/sad-symphony-and-metallica/1545194743?uo=4,https://music.apple.com/us/album/sad-but-true-live/1545196654?i=1545196699&uo=4,https://music.apple.com/us/album/sad-but-true-live/1545196654?i=1545196699&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/7e/ed/fb/7eedfb15-37c9-bbe1-db8d-612f4ce363a4/mzaf_3019893085120306723.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/a1/5a/69/a15a692b-6ee4-b0fc-8b8e-b88c681c8a2d/194152742328.png/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/a1/5a/69/a15a692b-6ee4-b0fc-8b8e-b88c681c8a2d/194152742328.png/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music124/v4/a1/5a/69/a15a692b-6ee4-b0fc-8b8e-b88c681c8a2d/194152742328.png/100x100bb.jpg,9.99,0.99,2020-12-25T12:00:00Z,notExplicit,notExplicit,1,1,17,15,354958,USA,USD,Metal,True,,,,
19,track,song,981357713,1440881580,1440881810,Steve ‘n’ Seagulls,Brothers in Farms,Sad But True,Brothers in Farms,Sad But True,https://music.apple.com/us/artist/steve-n-seagulls/981357713?uo=4,https://music.apple.com/us/album/sad-but-true/1440881580?i=1440881810&uo=4,https://music.apple.com/us/album/sad-but-true/1440881580?i=1440881810&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/ec/88/39/ec883924-0f79-a1b0-be55-121e49f01df5/mzaf_14253774714648538856.plus.aac.p.m4a,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/ae/4e/07/ae4e0705-07e4-0aa9-6d7e-023ccdbf7bae/00602557070057.rgb.jpg/30x30bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/ae/4e/07/ae4e0705-07e4-0aa9-6d7e-023ccdbf7bae/00602557070057.rgb.jpg/60x60bb.jpg,https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/ae/4e/07/ae4e0705-07e4-0aa9-6d7e-023ccdbf7bae/00602557070057.rgb.jpg/100x100bb.jpg,9.99,1.29,2016-09-09T12:00:00Z,notExplicit,notExplicit,1,1,14,2,247427,USA,USD,Rock,True,,,,
20,track,song,460591,1084515881,1084515896,Rooney,Washed Away,Sad but True (From the Motion Picture “Dreamland”),Washed Away,Sad but True (From the Motion Picture “Dreamland”),https://music.apple.com/us/artist/rooney/460591?uo=4,https://music.apple.com/us/album/sad-but-true-from-the-motion-picture-dreamland/1084515881?i=1084515896&uo=4,https://music.apple.com/us/album/sad-but-true-from-the-motion-picture-dreamland/1084515881?i=1084515896&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/ba/5f/b4/ba5fb4bf-0276-7104-728a-04dbe7c689e3/mzaf_1543910167816482033.plus.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/b5/e0/a8/b5e0a8a8-a19f-c68a-118a-1de90c7fedaf/190394272654.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/b5/e0/a8/b5e0a8a8-a19f-c68a-118a-1de90c7fedaf/190394272654.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music69/v4/b5/e0/a8/b5e0a8a8-a19f-c68a-118a-1de90c7fedaf/190394272654.jpg/100x100bb.jpg,9.99,1.29,2016-05-06T12:00:00Z,notExplicit,notExplicit,1,1,12,12,315215,USA,USD,Alternative,True,,,,
21,track,song,90154709,390311800,390312016,Horace Trahan,Keep Walking,Sad But True,Keep Walking,Sad But True,https://music.apple.com/us/artist/horace-trahan/90154709?uo=4,https://music.apple.com/us/album/sad-but-true/390311800?i=390312016&uo=4,https://music.apple.com/us/album/sad-but-true/390311800?i=390312016&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/Music/73/5d/0e/mzm.ikfqbacd.aac.p.m4a,https://is2-ssl.mzstatic.com/image/thumb/Music/b0/21/16/mzi.crouumrq.jpg/30x30bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/b0/21/16/mzi.crouumrq.jpg/60x60bb.jpg,https://is2-ssl.mzstatic.com/image/thumb/Music/b0/21/16/mzi.crouumrq.jpg/100x100bb.jpg,9.99,0.99,2010-08-23T12:00:00Z,notExplicit,notExplicit,1,1,16,4,311667,USA,USD,Worldwide,False,,,,
22,track,song,322371320,286695806,286695861,The Boys of County Nashville,The Celtic Tribute to Metallica,Sad But True,The Celtic Tribute to Metallica,Sad But True,https://music.apple.com/us/artist/the-boys-of-county-nashville/322371320?uo=4,https://music.apple.com/us/album/sad-but-true/286695806?i=286695861&uo=4,https://music.apple.com/us/album/sad-but-true/286695806?i=286695861&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/b9/92/e2/b992e2bf-897e-a63e-4b21-b596653fdbf1/mzaf_12168062469818708542.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8d/70/f8/8d70f840-2d3b-d54e-57cc-5d80c847baf7/dj.tokxqtxw.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8d/70/f8/8d70f840-2d3b-d54e-57cc-5d80c847baf7/dj.tokxqtxw.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music124/v4/8d/70/f8/8d70f840-2d3b-d54e-57cc-5d80c847baf7/dj.tokxqtxw.jpg/100x100bb.jpg,11.99,1.29,2008-08-19T12:00:00Z,notExplicit,notExplicit,1,1,12,4,290000,USA,USD,Celtic,True,,,,
23,track,song,411644,946401330,946401351,Apocalyptica,Plays Metallica by Four Cellos,Sad But True,Plays Metallica by Four Cellos,Sad But True,https://music.apple.com/us/artist/apocalyptica/411644?uo=4,https://music.apple.com/us/album/sad-but-true/946401330?i=946401351&uo=4,https://music.apple.com/us/album/sad-but-true/946401330?i=946401351&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/db/16/d9/db16d9a8-274c-eadf-bd7a-30262f714346/mzaf_6619662208213228237.plus.aac.p.m4a,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/98/d3/c3/98d3c3a5-69e0-daaa-c095-e4ae96ab3e27/4260341640907_1448.jpg/30x30bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/98/d3/c3/98d3c3a5-69e0-daaa-c095-e4ae96ab3e27/4260341640907_1448.jpg/60x60bb.jpg,https://is1-ssl.mzstatic.com/image/thumb/Music5/v4/98/d3/c3/98d3c3a5-69e0-daaa-c095-e4ae96ab3e27/4260341640907_1448.jpg/100x100bb.jpg,10.32,1.29,1996-05-13T12:00:00Z,notExplicit,notExplicit,1,1,8,5,288307,USA,USD,Hard Rock,True,,,,
24,track,song,335508,300968182,300968289,En Vogue,Masterpiece Theatre,Sad But True,Masterpiece Theatre,Sad But True,https://music.apple.com/us/artist/en-vogue/335508?uo=4,https://music.apple.com/us/album/sad-but-true/300968182?i=300968289&uo=4,https://music.apple.com/us/album/sad-but-true/300968182?i=300968289&uo=4,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/af/89/ce/af89cedb-2e5c-d65f-536a-d070341ce297/mzaf_13501389247901059489.plus.aac.p.m4a,https://is5-ssl.mzstatic.com/image/thumb/Music/f6/cf/c5/mzi.arhdmazm.jpg/30x30bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music/f6/cf/c5/mzi.arhdmazm.jpg/60x60bb.jpg,https://is5-ssl.mzstatic.com/image/thumb/Music/f6/cf/c5/mzi.arhdmazm.jpg/100x100bb.jpg,9.99,1.29,2000-05-12T12:00:00Z,notExplicit,notExplicit,1,1,14,6,248773,USA,USD,R&B/Soul,True,,,,
