Name,Price,Rating,Price cut
Fallen Enchantress: Legendary Heroes,186,71.94,60
A Kiss For The Petals - Remembering How We Met,187,88.39,35
Cauldrons of War - Stalingrad,194,77.77,25
Groupy,194,73.87,25
Nuclear Blaze,194,89.09,25
State of War : Warmonger / 蓝色警戒 (Classic 2000),194,82.53,25
Corona Blossom Vol.2 The Truth From Beyond,199,87.27,40
Corona Blossom Vol.3 Journey to the Stars,199,85.22,40
Human: Fall Flat,199,93.46,70
Iconoclasts,199,84.33,60
Partisans 1941,199,80.83,80
Space Mouse 2,199,78.3,50
The Daedalic Armageddon Bundle,199,84.71,90
The Inheritance of Crimson Manor,199,81.74,50
Chaos Chain,201,77.4,25
Where the Snow Settles,201,77.87,25
12 Labours of Hercules IX: A Hero's Moonwalk,202,79.83,30
Castle on the Coast,206,82.19,60
Iwaihime,206,78.02,60
Offworld Trading Company,206,74.78,60
Offworld Trading Company Core Edition,206,74.8,60
Star Control®: Origins,206,70.45,60
Acting Lessons,207,92.82,20
"Aquarist - build aquariums, grow fish, develop your business!",207,76.84,20
CHANGE: A Homeless Survival Experience,207,87.52,50
Curtains,207,64.35,20
Ekstase,207,79.39,20
Intrepid Izzy,207,81.66,50
Medieval Monarch,207,76.89,20
真探,207,89.12,20
Chinese Parents,209,89.81,40
Creaks,209,90.5,65
Mechanic 8230: Escape from Ilgrot,209,77.88,30
One Piece Pirate Warriors 3,209,78.26,85
ONE PIECE PIRATE WARRIORS 3 Gold Edition,209,78.25,85
Paladin's Oath,209,78.73,30
South of the Circle,209,78,30
The Tale of ALLTYNEX,209,82.97,50
Detective From The Crypt,210,85.05,25
The Long Dark,210,90.14,66
Twilight bride :VORMSLEGEND,210,82.07,25
WhiteLily 2：梦醒少女,214.88,88.24,15
She is Mermaid,215,76.37,20
Dealer's Life,216,87.8,25
"Dr Livingstone, I Presume? Reversed Escape Room",216,77.77,40
FixFox,216,84.66,40
Task Force,216,80.62,30
Drift King,217,80.6,50
Factory Town,217,87.76,50
Galactic Civilizations® II: Ultimate Edition,217,73.42,50
Gloom and Doom,217,81.86,50
Lenny Loosejocks Goes Walkabout,217,77.41,50
Multiplicity,217,47.58,50
Sorcerer King: Rivals,217,60.75,50
Superliminal,217,92.43,50
The Great Gaias,217,76.36,50
Tide Up,217,81.55,25
Trials of Fire,217,84.63,50
Across the Galaxy: Stellar Dominator,220,77,15
Prose & Codes,220,86.92,15
Doomsday Hunters,223,84.63,40
From Frontier,223,89.68,40
Nummels,224,77.87,25
The Secret of Retropolis,224,85.02,25
West of Loathing,224,94.38,50
Songs Of Wuxia,225,76.19,50
Supraland Six Inches Under,228,92.02,40
Weird RPG,228,84.63,15
Overloop,231,85.04,20
BATTLETECH Digital Deluxe Edition,232,81.19,75
Dreamscaper,232,86.45,50
Galactic Civilizations I and II Pack,232,69.97,50
Galactic Civilizations III,232,75.34,68
Galactic Civilizations III,232,74.94,68
Hex of Steel,232,88.33,50
Megaquarium,232,90.31,50
Severed Steel,232,90.02,50
Sins of a Solar Empire®: Rebellion,232,90.76,68
Spark the Electric Jester 3,232,89.59,50
Stardock Legends Pack,232,73.12,68
The Red Lantern,232,78.87,50
Demon Speakeasy,233,76.86,10
Latex Dungeon,233,79.31,10
Heroes of the Three Kingdoms 7,234,79.45,30
Home and Dungeon,235,80.56,40
Shaolin vs Wutang 2,235,79.18,40
Armored Lab Force VULVEHICLES,239,77.87,20
Endzone - A World Apart,239,75.89,70
OshiRabu: Waifus Over Husbandos ~Love･or･die~,239,78.29,20
Shadow Tactics: Aiko's Choice,239,88.12,60
Tower Tactics: Liberation,239,87.06,20
Cat and Ghostly Road,240,83.8,25
TPORT,241,81.25,33
Idol Hands,242,82.13,10
Kaiju Princess,242,92.88,10
嗜血印 Bloody Spell,243,86.28,63
風色幻想6:冒險奏鳴,244,78.4,20
Being a DIK - Season 1,247,93.95,20
Onde,247,84.53,20
DCL - The Game,249,76.83,75
The Tale of ALLTYNEX Deluxe Edition,249,82.84,50
Eclipse,251,77.06,37
Zeepkist,251,90.29,13
GRAND CROSS: ReNOVATION,252,85.49,30
Hentai Femdom Sim: Femdom University,252,77.16,30
HunterX,252,78.76,30
Like No Other: The Legend Of The Twin Books,252,80.01,30
Sable's Grimoire,252,85.01,30
Umurangi Generation,252,87.37,30
Kenshi,257,93.44,50
MORDHAU,257,80.11,50
Midnight Protocol,259,82.11,35
Strange Horticulture,259,91.78,35
Touhou Blooming Chaos,259,83.42,30
Touhou Blooming Chaos 2,259,90.38,30
Aeternum Vale,260,76.34,10
The Walking Dead: The Final Season,260,91.96,60
3dSen VR,261,83.66,40
A Little Golf Journey,261,80.47,40
Manafinder,262,79.39,15
Evil Tonight,269,80.92,10
Silicon Dreams | cyberpunk interrogation,269,86.59,25
Pure Rock Crawling,270,80.63,25
Terra Randoma,270,78.14,25
Grisaia Phantom Trigger Vol.1,274,86.15,45
Happy Game,276,86.71,33
Naked Story,277,78.02,63
Suhoshin,278,81.4,33
A Juggler's Tale,279,86.36,30
Ark of Artemis,279,78.22,30
DARIUSBURST Chronicle Saviours,279,79.09,70
Witchtastic,279,83.14,30
Sins of a Solar Empire®: Rebellion: Game and Soundtrack Bundle,280,90.77,66
First Class Trouble,285,76.33,50
Tayutama 2-you're the only one-,287,91.18,68
NavalArt,288,86.58,20
Travellers Rest,288,87.9,20
That Time I Got Reincarnated as an Orc,290,83.22,30
Agent Intercept,291,77.09,33
Solasta: Crown of the Magister,291,86.87,60
Vengeful Rites,291,85.84,33
Alex Kidd in Miracle World DX,292.99,79.66,60
Touhou Mystia's Izakaya,296,93.42,20
WILL: A Wonderful World / WILL：美好世界,296,90.3,15
Escape Dungeon 2,299,89.15,25
Grisaia Phantom Trigger Vol.2,299,86.54,40
IL-2 Sturmovik: Battle of Stalingrad,299,78.06,85
Ni no Kuni™ II: Revenant Kingdom,299,82.32,85
Hourglass,300,87.37,40
Last Lovers 绿洲之爱,303,76.59,25
Beard Blade,304,75.89,30
FALL IN LABYRINTH,304,88.46,30
Minute of Islands,304,77.1,30
No Place Like Home,304,79.26,30
OshiRabu: Waifus Over Husbandos,304,84.3,30
Beautiful Mystic Defenders,306,78.66,10
Cat's Kiss,306,86.06,15
Recursive Ruin,307,79.28,33
月影魅像-解放之羽-,311,93.34,61
TouHou Nil Soul,313,76.69,35
The Dungeon Of Naheulbeuk: The Amulet Of Chaos,319,85.93,60
Vault of the Void,319,89.71,20
We Were Here Forever,319,87,20
Blossom Tales II: The Minotaur Prince,324,79.65,10
Grisaia Phantom Trigger Vol.3,324,86.46,35
Grisaia Phantom Trigger Vol.4,324,86.83,35
Grisaia Phantom Trigger Vol.5,324,86.28,35
Banner of the Maid,325,86.8,50
Ruinarch,325,76.03,30
YAKIMOCHI STREAM,325,82.46,30
Crisis Brigade 2 reloaded,326,76.94,25
Let's Build a Zoo,326,86.23,25
Roboquest,326,90.77,25
Idol Magical Girl Chiru Chiru Michiru Part 1,333,80.83,50
Nursery Slime,334,80.01,30
Claris the Princess Knight,336,79.32,25
Bounty game,340,79.75,50
Rhythm Fighter,344,76.81,31
Lolita Expedition,346,86.62,21
Sins of a Solar Empire® - Ultimate Edition,346,89.98,72
Candy Disaster - Tower Defense,348,82.23,20
Mercury Fallen,348,77.21,20
Move 78,348,78.11,20
Priest Simulator,348,85.32,20
Founders' Fortune,349,80.1,50
MARSUPILAMI - HOOBADVENTURE,349,81.22,50
Screeps: World,349,85.77,50
Jerez's Arena,350,77.42,50
Maitetsu:Pure Station,350,92.75,61
Real estate tycoon,350,76,30
Wolf of Stock Street,350,82.15,30
ALIA’s CARNIVAL！,356,88.79,61
Stronghold Crusader 2 Ultimate Edition,359,78.11,80
奇迹一刻 Surmount,359,88.58,40
Home Behind 2,360,84.76,30
Multiplicity KVM,362,64.08,50
Blazing Aries,366,83.8,25
Hot Spring Hero,366,79.62,25
Faeria,369,81.39,50
Airships: Conquer the Skies,372,92.42,20
First Person Tennis - The Real Tennis Simulator,372,81.53,20
Grisaia Phantom Trigger Vol.5.5,374,82.19,25
Grisaia Phantom Trigger Vol.6,374,84.6,25
Submerged: Hidden Depths,386,84.13,25
Nightmare Hunter,390,81.3,20
Cogmind,391,90.68,10
Dinkum,391,92.15,10
Loca-Love My Cute Roommate,399,81.84,40
Super Arcade Racing,399,82.83,60
MY HERO ONE'S JUSTICE 2,404,85.17,85
Carrier Command 2,412,75.85,20
Fobia - St. Dinfna Hotel,412,84.97,20
Wrench,412,86.4,20
Crocotile 3D,418,80.21,10
MADNESS: Project Nexus,418,94.32,10
Stellar Monarch 2,418,78.74,10
Best Month Ever!,419,77.41,30
BROK the InvestiGator,424,90.83,15
CODE VEIN,449,85.07,85
Between the Stars,454,76.26,35
Ghost Marriage Matchmaking,457,81.92,30
Lilycle Rainbow Stage!!!,465,83.28,50
Sentimental K,469,79.1,50
Growing Up,476,85.09,15
DEAD OR SCHOOL,479,82.1,60
Rasetsu Fumaden,479,78.99,20
MECHANICA: A Ballad of the Rabbit and Mercury,489,89.77,30
WAGAMAMA HIGH SPEC,492,83.86,70
The Ascent,494,74.68,67
UnMetal,494,89.5,35
觅长生,495,89.07,10
TRATRITLE,508,83.79,15
Life is Paradise,510,76.34,30
Buggos,525,81.18,25
TEKKEN 7,554,80.96,85
001 Game Creator,555,72.64,60
AppGameKit - Bumper Pack,555,77.4,60
Colony Ship: A Post-Earth Role Playing Game,559,80.04,20
NEBULOUS: Fleet Command,559,88.08,20
Bitty Engine,562,78.75,25
AIKAGI,599,78.69,10
Momoiro Closet,599,81.14,40
The Eden of Grisaia,599,84.31,40
The Labyrinth of Grisaia,599,79.48,40
The Expression Amrilato,604,90.23,35
Wonderful Everyday Down the Rabbit-Hole,649,89.46,35
Yukikoi Melt,649,77.65,35
Grisaia Phantom Trigger Vol.7,666,79.39,20
Hana no No ni Saku Utakata no,679,89.36,32
Little Nightmares II,679,93.12,60
Distant Memoraĵo,696,87.92,20
SCARLET NEXUS,699,82.51,75
Workers & Resources: Soviet Republic,699,88.27,30
Amazing Cultivation Simulator,700,86.13,30
The Fruit of Grisaia,733,87.99,45
Heraldry Studio,749,76.65,25
Maitetsu:Last Run!!,773,94.19,47
Maitetsu:Last Run!!,773,94.02,47
Scorn,809.1,50,10
Detroit: Become Human,814,91.58,50
A Perfect Day,828,79.89,28
Grisaia Phantom Trigger Vol.8,899,78.36,10
Movavi Video Editor Plus 2021 - Video Editing Software,916,77.43,60
Accident,950,75.58,50
cyubeVR,959,85.88,20
ISLAND,999,90.72,25
