Name,Price,Rating,Price cut
1-Bit Revival: The Residuals of Null,25,77.87,75
Colorful Colore,25,86.96,70
Crazy Machines 3,25,91.92,90
Dead Synchronicity: Tomorrow Comes Today,25,80.02,90
Hello From Darkness,25,77.31,90
Jigsaw Puzzle - Animals,25,77.3,17
Monsters' Den: Book of Dread,25,83.81,81
Oozi: Earth Adventure,25,81.4,90
Robin's Quest,25,78.24,81
SiNKR,25,88.04,75
异世界无厘头生活2,25,78.82,51
Bear With Me: The Lost Robots,26,77.65,80
Yet Another Zombie Defense HD,26,81.02,83
Angry Putin,27,81.51,10
Ashi Wash,27,79.32,67
Deported 2: Build That Wall,27,78.37,10
Deported: Drain the Swamp,27,76.4,10
Hentai Aim Trainer,27,84.27,10
Mathletix,27,77.41,67
Quiver Dick's Terrible Tale For Terrible Parents To Read To Their Equally Terrible Children,27,81.17,10
C-4,28,81.17,90
Dungeon Color,28,80.48,73
Neon,28,78.11,90
Syberia,28,85.53,90
Syberia II,28,82.26,90
ANIME - World War II,29,78.52,51
ANIME WAR — Modern Campaign,29,78.87,51
Chameleon Run Deluxe Edition,29,82.01,81
Edna & Harvey: Harvey's New Eyes,29,85.73,90
Edna & Harvey: The Breakout,29,80.42,90
FlatOut,29,88.96,81
In the Raven Shadow – Ve stínu havrana,29,75.92,71
Super Destronaut,29,77.67,51
Super Star Path,29,76.01,81
The Dark Eye: Chains of Satinav,29,82.96,90
The Dark Eye: Memoria,29,85.66,90
The Night of the Rabbit,29,86.17,90
A Long Road Home,30,80.92,51
Bob Help Them,30,80.72,81
Ceress and Orea,30,79.83,51
Chameneon,30,79.32,51
Cubic,30,77.83,51
Elemental Angel,30,80.28,71
Magicolors,30,78.13,51
Mars Underground,30,80.92,51
Muse Dash,30,92.41,82
Neon Parkour,30,76.13,51
Perseverance Mission - Astronaut Charlie,30,79.04,51
Push Blox 2,30,77.87,51
Puzzle Car,30,84.87,51
The Last of Waifus,30,78.29,51
Tree Simulator 2021,30,83.71,51
64,31,86.37,61
Act of War: Direct Action,31,82.72,61
Hexologic,31,90.09,61
Shiro,31,80.01,79
Eon Altar,32,81.23,75
Guards,32,79.91,75
Untitled Marble Game,32,79.46,75
Knytt Underground,33,79.28,80
Lost Bits,33,77.41,75
Zup! 5,33,89.68,46
Zup! 6,33,90.09,46
Zup! 7,33,90.99,46
Zup! 8,33,92.48,46
Zup! 9,33,90.69,46
Zup! X,33,93.53,46
Zup! XS,33,82.3,46
Zup! Zero,33,89.5,46
Zup! Zero 2,33,89.09,46
AER Memories of Old,34,83.42,90
"BEAR, VODKA, FALL OF BERLIN! 🐻",34,85.26,51
Bragger's Run,34,76.34,67
Hot Shot Burn,34,82.75,90
Left in the Dark: No One on Board,34,78.54,90
Lost Grimoires: Stolen Kingdom,34,77.71,90
Mind Snares: Alice's Journey,34,82.36,90
Mountain,34,86.32,48
Get Achievements for Achievements,35,82.2,50
Indian Summer,35,76.34,80
UTOPIA 9 - A Volatile Vacation,35,76.16,80
AHEGAL,36,83.94,41
Asyula 方舟之链,36,82.24,41
Barrage Musical ~ Basic Danmaku Tutorial ~ / 弹幕音乐绘 ~ 基础教学篇 ~,36,88.08,41
Cat Slide Tiles,36,86.65,41
Farm Kitten - Puzzle Pipes,36,81.56,41
Izmir: An Independence Simulator,36,76.13,41
Kalinur,36,89.66,41
Oppai Muse,36,85.51,41
BlazBlue: Calamity Trigger,37,82.72,85
Conga Master,37,79.06,85
Hidden Girl,37,86.37,39
Marble Age,37,78.57,75
Quell Collection,37,90.45,80
The Tiny Bang Story,37,84.78,75
Destropolis,38,82.95,75
Märchen Forest: Mylne and the Forest Gift [Legacy ver.],38,78.02,85
Post Soviet Zombies,38,77.22,71
Shinobi Shift,38,78.3,85
World Soccer Strikers '91,38,78.3,75
12 Labours of Hercules,39,89.67,51
12 Labours of Hercules VII: Fleecing the Fleece (Platinum Edition),39,81.27,51
Fire: Ungh’s Quest,39,80.58,90
FlatOut 2™,39,93.22,80
Mandinga - A Tale of Banzo,39,77.3,80
Rolling Adventure,39,79.71,80
Stairway to Heaven's Gate,39,77.87,36
Stick it to The Man!,39,88.88,80
Suicide Countdown: 7 Days,39,80.64,51
Zup! S,39,94.69,36
Zup! Z,39,93.29,36
Forgotten Hope,40,82.54,61
Let's Learn Japanese! Katakana,40,77.92,61
Among Ass 2: Butt Warfare,41,76.38,41
Cube Farmer - Puzzle,41,79.71,50
Deponia Doomsday,41,83.2,90
Grim Nights,41,84.97,50
It's Kooky,41,80.79,50
LEWDAPOCALYPSE Hentai Evil,41,92.01,31
Reformers,41,82.55,90
Retrowave,41,92,50
Space Court,41,86.81,50
Super Lobster Run,41,77.3,90
The Chronicles of Quiver Dick,41,85.42,50
The Eye of Borrack,41,77.87,50
They Came From the Sky,41,83.63,50
蝶生梦影-Butterfly dream shadow,41,79.04,50
Ever Seen A Cat? 2,42,88.06,31
Island Farmer - Jigsaw Puzzle,42,85.3,31
Kittens and Yarn,42,83.3,31
Lucky and a life worth living - a jigsaw puzzle tale,42,81.89,31
Memory Traces: Japan,42,79.04,31
Mini Gardens - Logic Puzzle,42,82.27,31
Mundus - Impossible Universe 2,42,81,16
RoboSkate,42,77.93,75
WORDLAND 3,42,76.9,31
Zup! F,42,94.09,31
